2014,2015,2016,2017,2018,2019,2020,2021,2022
1:13.555,1:14.832,1:11.511,1:11.044,1:10.540,1:10.698,1:10.698,1:11.010,1:13.785
1:13.619,1:14.957,1:11.815,1:11.845,1:10.831,1:10.862,1:10.862,1:11.982,1:13.942
1:13.728,1:15.046,1:12.100,1:11.862,1:11.343,1:11.082,1:11.082,1:12.486,1:13.953
1:13.999,1:15.416,1:11.957,1:12.029,1:11.578,1:11.087,1:11.087,1:12.526,1:14.164
1:14.018,1:15.739,1:12.159,1:12.466,1:11.751,1:11.384,1:11.384,1:12.621,1:14.195
1:14.070,1:15.743,1:12.409,1:12.492,1:11.769,1:11.423,1:11.423,1:12.710,1:14.253
1:14.101,1:15.789,1:12.893,1:12.539,1:11.795,1:12.328,1:12.328,1:12.822,1:14.283
1:14.144,1:15.970,1:12.428,1:13.052,1:12.082,1:12.385,1:12.385,1:13.227,1:14.831
1:14.229,1:15.972,1:12.684,1:13.323,1:12.169,1:12.425,1:12.425,1:13.634,1:15.093
1:14.313,1:16.039,1:12.700,1:13.451,1:12.206,1:12.603,1:12.603,1:13.761,1:15.251
1:14.544,1:16.313,1:12.680,1:13.452,1:12.352,1:12.733,1:12.733,1:13.793,1:15.327
1:14.550,1:16.321,1:13.052,1:13.532,1:12.362,1:12.840,1:12.840,1:13.922,1:15.327
1:14.774,1:16.354,1:12.432,1:13.625,1:12.472,1:12.934,1:12.934,1:14.204,1:15.508
1:14.810,1:16.500,1:13.071,1:13.666,1:12.643,1:13.020,1:13.020,1:14.227,1:15.511
1:14.834,1:16.519,1:12.950,1:13.758,1:12.949,1:13.135,1:13.135,1:14.355,1:15.549
1:14.875,1:16.774,1:13.259,1:14.658,1:12.968,1:13.158,1:13.158,1:14.430,1:15.613
1:14.963,1:16.794,1:13.276,1:14.812,1:13.822,1:13.262,1:13.262,1:14.443,1:15.802
1:15.387,1:18.617,1:13.410,1:14.812,1:14.029,1:13.619,1:13.619,1:14.616,1:15.855
1:15.387,1:19.098,1:13.427,1:14.812,1:14.262,1:13.752,1:13.752,1:14.954,1:15.855
1:15.387,1:19.098,1:13.432,1:14.812,1:15.281,1:14.553,1:14.553,1:15.344,1:15.855
