2014,2015,2016,2017,2018,2019,2020,2021,2022
1:28.004,1:26.672,1:25.219,1:23.361,1:22.497,1:21.779,1:22.746,1:24.812,1:24.030
1:28.206,1:27.067,1:25.340,1:23.488,1:22.505,1:22.799,1:23.882,1:24.827,1:24.336
1:28.342,1:27.376,1:25.919,1:23.722,1:22.907,1:22.859,1:23.897,1:24.971,1:24.420
1:28.486,1:27.390,1:26.016,1:23.897,1:23.515,1:23.009,1:23.898,1:25.156,1:24.434
1:28.559,1:27.510,1:26.303,1:24.351,1:23.529,1:23.143,1:23.961,1:25.173,1:24.718
1:28.588,1:27.525,1:26.310,1:24.968,1:23.609,1:23.364,1:24.037,1:25.319,1:24.745
1:28.942,1:27.584,1:26.354,1:25.020,1:23.768,1:23.466,1:24.232,1:25.472,1:25.288
1:29.107,1:27.874,1:26.400,1:25.054,1:23.768,1:23.641,1:24.336,1:25.559,1:25.298
1:29.121,1:28.065,1:26.405,1:25.477,1:24.056,1:23.770,1:24.421,1:25.566,1:25.706
1:29.141,1:28.140,1:26.599,1:25.625,1:24.059,1:23.885,1:24.479,1:25.718,1:26.361
1:29.245,1:28.231,1:26.708,1:25.652,1:24.179,1:24.044,1:24.490,1:25.835,1:26.593
1:29.283,1:28.516,1:26.751,1:25.752,1:24.243,1:24.165,1:24.785,1:25.849,1:26.603
1:29.366,1:28.653,1:26.920,1:25.871,1:24.504,1:24.419,1:24.835,1:25.853,1:26.624
1:29.375,1:28.913,1:26.954,1:25.894,1:24.580,1:24.443,1:24.856,1:25.870,1:26.718
1:29.449,1:29.285,1:27.106,1:26.037,1:24.767,1:24.503,1:24.888,1:25.938,1:26.798
1:29.680,1:29.766,1:27.227,1:26.131,1:24.772,1:24.842,1:24.999,1:25.953,1:26.798
1:29.856,1:31.098,1:27.618,1:26.210,1:25.229,1:24.985,1:25.539,1:26.707,1:26.857
1:30.083,1:31.311,1:28.037,1:26.547,1:25.692,1:24.989,1:25.787,1:27.202,1:27.203
1:30.280,1:35.106,1:28.534,1:26.912,1:27.009,1:25.637,1:26.026,1:29.005,1:27.467
1:30.521,1:36.240,1:28.552,1:27.663,1:27.207,1:25.772,1:27.107,1:29.005,1:27.501
