2014,2015,2016,2017,2018,2019,2020,2021,2022
1:37.176,1:36.610,1:35.548,1:30.621,1:30.696,1:27.369,1:27.097,1:28.617,1:30.510
1:37.481,1:36.975,1:35.669,1:30.678,1:30.795,1:27.406,1:28.689,1:29.699,1:30.813
1:38.091,1:37.093,1:35.771,1:30.905,1:31.245,1:28.733,1:29.238,1:30.266,1:30.937
1:38.264,1:37.466,1:36.013,1:31.517,1:31.377,1:29.272,1:29.265,1:30.524,1:31.282
1:38.284,1:37.493,1:36.141,1:31.872,1:31.589,1:29.313,1:29.482,1:30.569,1:31.609
1:38.407,1:37.707,1:36.407,1:31.874,1:32.007,1:29.390,1:29.491,1:30.826,1:31.645
1:38.459,1:37.910,1:36.933,1:32.290,1:33.405,1:29.456,1:29.603,1:31.223,1:32.109
1:38.587,1:38.131,1:36.994,1:32.577,1:33.465,1:29.544,1:29.782,1:31.284,1:32.135
1:38.625,1:38.233,1:37.383,1:32.683,1:33.472,1:29.624,1:29.813,1:31.418,1:32.379
1:38.677,1:38.466,1:37.401,1:33.119,1:33.482,1:29.636,1:29.948,1:31.698,1:32.471
1:38.716,1:38.697,1:37.618,1:33.342,1:33.551,1:29.757,1:29.973,1:31.895,1:32.644
1:38.919,1:38.883,1:37.619,1:33.400,1:33.604,1:29.910,1:30.058,1:31.992,1:32.661
1:39.261,1:39.119,1:37.667,1:33.464,1:33.606,1:29.949,1:30.475,1:32.049,1:33.286
1:39.961,1:41.919,1:37.713,1:33.504,1:33.675,1:30.034,1:30.501,1:32.210,1:33.537
1:40.041,1:42.324,1:37.900,1:33.521,1:33.869,1:30.872,1:30.537,1:32.346,1:33.832
1:40.314,1:42.324,1:37.907,1:33.562,1:34.391,1:31.013,1:30.862,1:32.477,1:34.275
1:40.399,1:42.324,1:38.710,1:33.594,1:34.602,1:31.509,1:30.977,1:32.862,1:35.103
1:41.462,1:42.324,1:39.755,1:34.263,1:34.620,1:32.464,1:32.443,1:32.909,1:35.103
1:42.566,1:42.324,1:41.380,1:34.263,1:35.209,1:33.425,1:32.443,1:33.059,1:35.103
1:44.319,1:42.324,1:51.966,1:34.263,1:35.209,1:34.350,1:32.443,1:33.059,1:35.103
